image_id,filepath,category,generation_prompt,vqa_query,target_visual,target_prior,seed
image_001_physics.png,cfcs_pilot_dataset/image_001_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,215649
image_002_physics.png,cfcs_pilot_dataset/image_002_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,813518
image_003_physics.png,cfcs_pilot_dataset/image_003_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,771500
image_004_physics.png,cfcs_pilot_dataset/image_004_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,760054
image_005_physics.png,cfcs_pilot_dataset/image_005_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,403660
image_006_physics.png,cfcs_pilot_dataset/image_006_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,808045
image_007_physics.png,cfcs_pilot_dataset/image_007_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,39864
image_008_physics.png,cfcs_pilot_dataset/image_008_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,92700
image_009_physics.png,cfcs_pilot_dataset/image_009_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,623068
image_010_physics.png,cfcs_pilot_dataset/image_010_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,37994
image_011_physics.png,cfcs_pilot_dataset/image_011_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,956068
image_012_physics.png,cfcs_pilot_dataset/image_012_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,492908
image_013_physics.png,cfcs_pilot_dataset/image_013_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,72181
image_014_physics.png,cfcs_pilot_dataset/image_014_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,363799
image_015_physics.png,cfcs_pilot_dataset/image_015_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,601117
image_016_physics.png,cfcs_pilot_dataset/image_016_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,779553
image_017_physics.png,cfcs_pilot_dataset/image_017_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,322985
image_018_physics.png,cfcs_pilot_dataset/image_018_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,756951
image_019_physics.png,cfcs_pilot_dataset/image_019_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,782763
image_020_physics.png,cfcs_pilot_dataset/image_020_physics.png,physics,A realistic photo of an apple floating upwards into the sky away from a tree branch.,"In this image, the apple is moving...",up,down,257678
image_021_physics.png,cfcs_pilot_dataset/image_021_physics.png,physics,A high-quality photograph of a campfire burning brightly entirely underwater in the ocean.,The fire in this image is currently...,burning,extinguished,17449
image_022_physics.png,cfcs_pilot_dataset/image_022_physics.png,physics,A high-quality photograph of a campfire burning brightly entirely underwater in the ocean.,The fire in this image is currently...,burning,extinguished,891621
image_023_physics.png,cfcs_pilot_dataset/image_023_physics.png,physics,A high-quality photograph of a campfire burning brightly entirely underwater in the ocean.,The fire in this image is currently...,burning,extinguished,458314
image_024_physics.png,cfcs_pilot_dataset/image_024_physics.png,physics,A high-quality photograph of a campfire burning brightly entirely underwater in the ocean.,The fire in this image is currently...,burning,extinguished,266178
image_025_physics.png,cfcs_pilot_dataset/image_025_physics.png,physics,A high-quality photograph of a campfire burning brightly entirely underwater in the ocean.,The fire in this image is currently...,burning,extinguished,473517
